class1,class2,similarity
0,16,0.6818593740463257
5,6,0.6175863146781921
5,7,0.9122817516326904
6,7,0.8840598464012146
6,10,0.6727710962295532
6,14,0.6857744455337524
6,19,0.6052289009094238
7,10,0.6880668997764587
10,19,0.662652850151062
12,17,0.6388170123100281
14,19,0.6070841550827026
